time,blocknumber,reward,stake,reward(usd), stake(usd)
2021-06-18 20:18:42,12660000,449026238.9654737,15657342.500890158,677568471.6782922,23626507.1130675
2021-06-19 15:12:35,12665000,452753340.0976736,15661225.68617586,624018743.8974186,21585480.470388398
2021-06-20 09:48:37,12670000,452854385.93492216,15661225.68617586,616118958.8625939,21307462.981412813
2021-06-21 04:18:32,12675000,455064418.93873274,15662325.778054357,637202428.0247715,21931119.197510503
2021-06-21 23:18:24,12680000,455162393.1115748,15662325.778054357,637339616.0320525,21931119.197510503
2021-06-22 18:06:50,12685000,456106376.92157996,15662325.778054357,501697016.2354751,17227871.627650686
2021-06-23 12:58:51,12690000,456206425.6721979,15662325.778054357,488592072.28715384,16774178.920124851
2021-06-24 07:24:59,12695000,456301687.6250873,15662325.778054357,536540678.5527218,18416488.758585628
2021-06-25 02:08:00,12700000,456396793.4505866,15676354.880397122,548841686.1644869,18851659.715706494
2021-06-25 21:08:05,12705000,458712921.41399,15796735.712593386,551626954.5867215,18996424.1397178
2021-06-26 15:44:44,12710000,464274602.6229752,15796735.712593386,488980371.8398596,16637338.460817322
2021-06-27 10:17:53,12715000,465079496.8875629,15796735.712593386,493935381.06838554,16776845.090040013
2021-06-28 05:05:33,12720000,472415050.9523471,15796735.712593386,523499787.4997424,17504920.243462753
2021-06-28 23:37:35,12725000,472512778.95126665,15800471.149193134,523608083.343755,17509059.612566777
2021-06-29 18:24:20,12730000,473585718.27362037,15800471.149193134,533459661.6802255,17798074.7062284
2021-06-30 13:13:12,12735000,485436224.5218032,15839492.366353022,570283885.0146827,18608020.553559855
2021-07-01 07:50:07,12740000,491069531.8136815,15841046.928331425,571354582.5065773,18430902.6886195
2021-07-02 02:33:15,12745000,495105179.31493646,15843512.802594298,535070161.6650198,17122404.108872134
2021-07-02 21:06:07,12750000,496353193.0282178,15843512.802594298,536418915.27783716,17122404.108872134
2021-07-03 15:59:28,12755000,507424672.5319285,15843634.292611802,562029219.0920461,17548585.812007938
2021-07-04 10:32:05,12760000,513264337.20223564,15843634.292611802,572749141.2964685,17679833.330273245
2021-07-05 05:11:47,12765000,513360770.65608454,15846394.148103649,589535009.6594311,18197736.68180797
2021-07-05 23:46:06,12770000,515902912.14788544,16048997.641725702,592454362.8601229,18430403.179516513
2021-07-06 18:36:57,12775000,517722024.4732315,16048997.641725702,572193017.2954632,17737557.89997613
2021-07-07 13:23:26,12780000,531455963.1762017,16048997.641725702,600556902.2383273,18135719.562054217
2021-07-08 08:02:34,12785000,536706182.88554066,16048997.641725702,606331585.7106669,18130989.54227915
2021-07-09 02:34:24,12790000,536768292.9517213,16048997.641725702,560749854.3369724,16766029.603506299
2021-07-09 21:22:45,12795000,536833181.3672594,16048997.641725702,560817641.816298,16766029.603506299
2021-07-10 15:46:48,12800000,538052795.2464854,16048997.641725702,569717875.0587311,16993501.221525863
2021-07-11 10:45:35,12805000,538145803.4703988,16048997.641725702,557021217.9441429,16611914.755307503
2021-07-12 05:18:13,12810000,539662907.2861633,16048997.641725702,563724848.6987071,16764574.042792832
2021-07-12 23:54:39,12815000,539758543.0992434,16048997.641725702,563824748.6242548,16764574.042792832
2021-07-13 18:58:53,12820000,539846832.8747743,16048997.641725702,539316657.3681134,16033236.160990894
2021-07-14 13:53:32,12825000,542789347.5368178,16048997.641725702,512306135.0142916,15147681.121594358
2021-07-15 08:44:10,12830000,542881229.7325835,16048997.641725702,504514373.1191268,14914772.40499555
2021-07-16 03:27:34,12835000,549889172.7902968,16054831.205988571,480874712.1781194,14039851.51421093
2021-07-16 22:25:00,12840000,549987256.2772352,16054831.205988571,480960485.5864438,14039851.51421093
2021-07-17 17:17:47,12845000,550378608.6871378,16053831.205988571,446958230.20214987,13037192.707959225
2021-07-18 12:14:27,12850000,550668860.0401882,16067995.49032522,441924371.21039474,12894934.358836282
2021-07-19 06:55:00,12855000,557566436.3918173,16068095.49032522,447156039.3659107,12886259.772204109
2021-07-20 01:30:36,12860000,558129166.5606452,16070481.930246286,411135517.18650734,11838022.980492828
2021-07-20 20:20:25,12865000,563413575.6223462,16070481.930246286,415028179.28477347,11838022.980492828
2021-07-21 15:13:44,12870000,556319403.0024865,16131962.01488833,388405572.7017954,11262853.517924678
2021-07-22 10:10:32,12875000,559918331.1497416,16133025.532755272,499258102.0765118,14385211.664165426
2021-07-23 04:35:31,12880000,564822076.1494306,16134377.006244596,502780310.65996677,14362128.227719167
2021-07-23 23:21:51,12885000,566002142.4139873,16134377.006244596,503830754.876202,14362128.227719167
2021-07-24 18:07:20,12890000,567194572.6308815,16134377.006244596,534774785.43552256,15212166.014968859
2021-07-25 12:51:05,12895000,567293487.2555634,16134377.006244596,539462633.5593661,15342840.5334527
2021-07-26 07:34:10,12900000,567381605.884691,16134377.006244596,533944332.56644344,15183536.217290487
2021-07-27 02:34:38,12905000,571163080.0871309,16134377.006244596,579931188.3413224,16382061.020034688
2021-07-27 21:42:42,12910000,571597550.0867479,16134377.006244596,580372328.0297247,16382061.020034688
2021-07-28 16:39:51,12915000,574286543.1141447,16134677.006244596,595498651.2522266,16730634.751612589
2021-07-29 11:43:13,12920000,574655031.0733365,16134677.006244596,584634285.0875015,16414866.04414632
2021-07-30 06:54:59,12925000,574743899.036985,16134677.006244596,592516874.8296986,16633614.401379578
2021-07-31 01:51:36,12930000,575155807.5588733,15763607.016947422,607227200.0777117,16642605.058015602
2021-07-31 20:43:45,12935000,576853266.1299331,15772285.55340622,609019311.018445,16651767.520300413
2021-08-01 15:52:56,12940000,579991503.5007195,15772285.55340622,630148882.502601,17136265.024576377
2021-08-02 10:51:28,12945000,586501810.3366579,15773125.094434857,614257527.4601818,16519575.302361399
