date,reward,reward(USD),MATIC(USD),diff,diff(USD)
2020-11-25,138047950.25001743,2976948.6321817962,0.021564598581799068,827620.9788039327,17847.31418578244
2020-11-26,138653585.48514122,2969879.144625847,0.02141941828791808,605635.2351237833,12972.354431017931
2020-11-27,139501481.33488312,2477184.9000701653,0.017757409286024067,847895.8497419059,15056.433635788188
2020-11-28,140308880.07194337,2486639.149032517,0.01772260706348373,807398.7370602489,14309.210560471809
2020-11-29,141076022.76824597,2641360.0328279245,0.018722955049328565,767142.6963025928,14363.17821929416
2020-11-30,141641285.5041867,2663304.7036331287,0.0188031667049111,565262.7359407246,10628.729455967588
2020-12-01,142307412.12462133,2770125.077114468,0.019465782110411903,666126.6204346418,12966.675651325791
2020-12-02,142832293.97080144,2676359.513797379,0.018737775886624734,524881.8461801112,9835.11840068076
2020-12-03,143458118.8901535,2777917.430399229,0.019363961077213717,625824.9193520546,12118.449379483598
2020-12-04,144184880.51789352,2997724.246557083,0.02079083629150048,726761.6277400255,15109.982025287285
2020-12-05,145032677.8265409,2745158.9183767075,0.018927864806164034,847797.3086473644,16046.992841107036
2020-12-06,145900718.34591314,2872035.1625896664,0.019684859643942374,868040.5193722546,17087.255789097675
2020-12-07,146647630.87845162,2866091.713716169,0.019544071026225573,746912.5325384736,14597.711586309948
2020-12-08,147374330.09804094,2839156.8581529437,0.019264934783854087,726699.2195893228,13999.813072865963
2020-12-09,147879024.88680825,2611406.155178581,0.017659070697669536,504694.788767308,8912.440955587284
2020-12-10,148706716.73068452,2697307.4455589857,0.018138437219644553,827691.8438762724,15013.036547361608
2020-12-11,149171036.7299461,2655516.5912819672,0.017801824331954055,464319.99926158786,8265.743060667824
2020-12-12,149917990.64410058,2634448.573064791,0.017572597936687074,746953.91415447,13125.920810671172
2020-12-13,150503439.41354182,2699240.958071508,0.017934746000420224,585448.769441247,10499.874976187346
2020-12-14,151189827.06336105,2744414.3544936124,0.01815210988596128,686387.6498192251,12459.384043885284
2020-12-15,151999829.1131824,2798256.516475714,0.018409603042330195,810002.049821347,14911.816200684763
2020-12-16,152605457.30517763,2980093.171252379,0.019528090435801674,605628.1919952333,11826.762103753976
