blocknumber,timestamp,totalStaked,totalRewards 
12202580,1617929747,20055288.502350811049100281,201179489.204211582010647007
12207580,1617996796,20055288.502350811049100281,201179489.204211582010647007
12212580,1618063609,20055444.094794993497612610,201179489.204211582010647007
12217580,1618130417,20060444.094794993497612610,201179489.204211582010647007
12222580,1618194807,20060444.094794993497612610,201179489.204211582010647007
12227580,1618261334,20060544.094794993497612610,201179489.204211582010647007
12232580,1618328276,20060644.094794993497612610,201179489.204211582010647007
12237580,1618395000,20142510.680849319650784563,201179489.204211582010647007
12242580,1618461801,20142510.680849319650784563,201179489.204211582010647007
12247580,1618528039,20142610.680849319650784563,201179489.204211582010647007
12252580,1618595501,20142610.680849319650784563,201179489.204211582010647007
12257580,1618662103,20142610.680849319650784563,201179489.204211582010647007
12262580,1618728572,20142610.680849319650784563,201179489.204211582010647007
12267580,1618795407,20142610.680849319650784563,201179489.204211582010647007
12272580,1618862989,20142610.680849319650784563,201179489.204211582010647007
12277580,1618929149,20183865.319319214606322079,201179489.204211582010647007
12282580,1618994849,20184111.107366781853823581,201179489.204211582010647007
12287580,1619061713,20260450.590676043911331570,201179489.204211582010647007
12292580,1619128733,20303134.092822493302547048,201179489.204211582010647007
12297580,1619195738,20306134.092822493302547048,201179489.204211582010647007
12302580,1619262779,20306134.092822493302547048,201179489.204211582010647007
12307580,1619329016,20306134.092822493302547048,201179489.204211582010647007
12312580,1619395128,20378060.577580333839298466,201179489.204211582010647007
12317580,1619461602,20438070.577580333839298466,201179489.204211582010647007
12322580,1619528736,20453650.186166648273936110,201179489.204211582010647007
12327580,1619595094,20418169.868068202950899564,201179489.204211582010647007
12332580,1619661570,15820279.733801847802512908,201179489.204211582010647007
12337580,1619728447,15820385.733801847802512908,201179489.204211582010647007
12342580,1619795660,16041663.172583639454251349,201179489.204211582010647007
12347580,1619863091,16041663.172583639454251349,201179489.204211582010647007
12352580,1619928681,16041663.172583639454251349,201179489.204211582010647007
12357580,1619996118,16041663.172583639454251349,201179489.204211582010647007
12362580,1620062905,16041663.172583639454251349,201179489.204211582010647007
12367580,1620129086,16041663.172583639454251349,201179489.204211582010647007
12372580,1620195609,16041703.172583639454251349,201179489.204211582010647007
12377580,1620262256,16041703.172583639454251349,201179489.204211582010647007
12382580,1620328595,16041703.172583639454251349,201179489.204211582010647007
12387580,1620396383,16041703.172583639454251349,201179489.204211582010647007
12392580,1620462824,16160128.205621269851911366,201179489.204211582010647007
12397580,1620528887,16224975.155433523356696950,201179489.204211582010647007
12402580,1620595733,16224975.155433523356696950,201179489.204211582010647007
12407580,1620662681,16224975.155433523356696950,201179489.204211582010647007
12412580,1620728525,16224975.155433523356696950,201179489.204211582010647007
12417580,1620795398,16150996.734018568745570408,201179489.204211582010647007
12422580,1620862927,16150996.734018568745570408,201179489.204211582010647007
12427580,1620929605,16150996.734018568745570408,201179489.204211582010647007
12432580,1620996278,16226706.331851715702430730,201179489.204211582010647007
12437580,1621062971,16226706.331851715702430730,201179489.204211582010647007
12442580,1621128671,16284636.195410054612052872,201179489.204211582010647007
12447580,1621195923,16284636.195410054612052872,201179489.204211582010647007
12452580,1621263503,16284636.195410054612052872,201179489.204211582010647007
12457580,1621330639,16296210.321887494832253965,201179489.204211582010647007
12462580,1621397047,16432971.533677486489393911,201179489.204211582010647007
